@RELATION leaves

@ATTRIBUTE area  NUMERIC
@ATTRIBUTE diameter  NUMERIC
@ATTRIBUTE perimeter  NUMERIC
@ATTRIBUTE bending_energy  NUMERIC
@ATTRIBUTE center_of_mass_x  NUMERIC
@ATTRIBUTE center_of_mass_y NUMERIC
@ATTRIBUTE fourier1  NUMERIC
@ATTRIBUTE fourier2  NUMERIC
@ATTRIBUTE fourier3  NUMERIC
@ATTRIBUTE fourier4  NUMERIC
@ATTRIBUTE fourier5  NUMERIC
@ATTRIBUTE fourier6  NUMERIC
@ATTRIBUTE fourier7  NUMERIC
@ATTRIBUTE fourier8  NUMERIC
@ATTRIBUTE fourier9  NUMERIC
@ATTRIBUTE fourier10  NUMERIC
@ATTRIBUTE fourier11  NUMERIC
@ATTRIBUTE fourier12  NUMERIC
@ATTRIBUTE fourier13  NUMERIC
@ATTRIBUTE fourier14  NUMERIC
@ATTRIBUTE fourier15  NUMERIC
@ATTRIBUTE fourier16  NUMERIC
@ATTRIBUTE fourier17  NUMERIC
@ATTRIBUTE fourier18  NUMERIC
@ATTRIBUTE fourier19  NUMERIC
@ATTRIBUTE fourier20  NUMERIC
@ATTRIBUTE fourier21  NUMERIC

@ATTRIBUTE class  {ag, bg, cg, lg, me, pe}

@DATA
304391.000000, 1554.063062, 3410.795165, 561.750000, 276.649458, 869.604207, 1476.786199, 1726.180519, 1605.804592, 1727.278087, 1924.555056, 2178.413345, 2215.786997, 2596.451978, 3605.899841, 11208.856206, 5546728.380364, 6998.968629, 3348.411257, 2600.034430, 2270.725603, 2223.302746, 1856.703877, 1733.280040, 1595.581619, 1684.635357, 1382.671881, ag
695495.000000, 2165.831249, 4874.321210, 969.750000, 371.962017, 1136.060592, 3079.718051, 3118.984353, 2925.609857, 3202.979357, 3498.608536, 3403.986494, 3761.237492, 4254.739117, 5009.630151, 14206.786166, 10757793.868991, 11234.205952, 4871.026232, 4241.117635, 3823.289054, 3433.691761, 3473.948932, 3178.995579, 2962.771413, 3126.745863, 2969.136510, ag
589192.000000, 2098.095327, 4618.608440, 771.625000, 317.111085, 1105.869657, 2399.778745, 2604.307360, 2719.810706, 2746.441946, 3056.486854, 3304.710387, 3321.384455, 3998.696004, 5372.727467, 13983.956143, 9846498.840010, 10615.445879, 5106.556151, 4096.611374, 3300.778595, 3297.500110, 3007.967433, 2765.481738, 2710.614187, 2664.885742, 2348.230762, ag
404897.000000, 1759.550227, 3864.334270, 619.375000, 287.298599, 961.608123, 1942.962304, 1800.143603, 1912.995854, 2126.121289, 2225.352218, 2691.643434, 2952.135042, 3022.913294, 3995.590772, 16405.831299, 7017457.112787, 8374.792023, 3795.925725, 2979.853818, 3105.212027, 2670.337157, 2089.186167, 2112.630198, 1944.844611, 1803.877192, 1723.118949, ag
293408.000000, 1527.523813, 3397.245958, 598.750000, 293.987694, 868.644106, 1592.871702, 1639.554064, 1802.428300, 1847.857041, 1796.377922, 1952.305516, 2155.660866, 2254.399897, 3029.091637, 9687.716232, 5490653.829879, 6633.101772, 2550.906997, 2276.040561, 2110.579049, 1883.531480, 1830.848446, 1772.564835, 1842.294969, 1646.069289, 1381.140461, ag
431998.000000, 1836.120094, 4024.601297, 670.250000, 267.831579, 1002.859919, 2068.760363, 2127.766489, 2049.839979, 2314.266823, 2466.807449, 2617.385043, 2825.576143, 3147.501582, 3986.540401, 12486.996134, 7584081.142252, 7901.958120, 3862.645770, 3035.378105, 2927.556170, 2467.705325, 2547.399348, 2289.480535, 2042.218105, 2054.273647, 1964.341387, ag
384660.000000, 1863.353160, 4099.873375, 585.125000, 231.973837, 1009.129493, 1845.174109, 2028.972130, 1994.673131, 2239.043437, 2265.116367, 2501.078753, 3028.268820, 3328.623906, 4230.103825, 13560.960995, 7875325.571144, 9179.556112, 4039.152775, 3426.424787, 3055.791037, 2505.955047, 2283.577738, 2213.694028, 2025.312491, 2088.731079, 1658.188345, ag
176972.000000, 1241.863116, 2697.467171, 407.375000, 243.829084, 748.576096, 950.842993, 1181.034381, 1194.916465, 1180.267498, 1099.419577, 1450.001496, 1813.133994, 2046.845089, 2281.497698, 6360.031748, 3673669.097198, 3983.637906, 2113.517560, 2074.155868, 1804.984303, 1433.887142, 1068.315160, 1181.648463, 1191.561764, 1180.143086, 889.884884, ag
249679.000000, 1417.186650, 3097.900720, 534.875000, 271.309765, 771.276514, 1533.417596, 1266.033425, 1473.935833, 1569.654441, 1708.226704, 1878.287530, 2134.140818, 2113.055186, 2947.524504, 8913.078187, 4533215.214078, 4878.877837, 2479.950703, 2168.847636, 2144.481280, 1761.525794, 1719.649678, 1539.228380, 1458.958702, 1266.230968, 1323.440742, ag
269687.000000, 1537.117432, 3319.089537, 493.250000, 275.361757, 993.005168, 1387.942031, 1471.303522, 1492.225355, 1710.682966, 1826.383876, 2077.350492, 2172.223355, 2603.098363, 3359.000049, 9377.994945, 5735653.215922, 6306.237037, 3050.220779, 2639.214497, 2201.729731, 2001.668605, 1809.840596, 1691.869155, 1497.758148, 1464.920442, 1275.059717, ag
137450.000000, 591.053297, 1529.876334, 291.500000, 213.783701, 318.206398, 523.329967, 469.589788, 539.766669, 455.367808, 609.966470, 603.813293, 578.048031, 636.427720, 817.176075, 2618.994978, 956303.001467, 1494.529304, 791.839636, 633.807149, 593.429293, 588.607078, 606.601364, 446.457008, 525.567848, 504.134373, 435.011378, bg
91778.000000, 440.728942, 1226.052957, 285.500000, 154.546679, 239.772859, 409.568422, 464.739460, 397.446975, 385.023237, 327.979674, 400.359070, 463.859141, 513.552920, 849.781427, 5043.673892, 558774.127831, 1693.003371, 632.415451, 533.921556, 421.394660, 394.429697, 342.251456, 387.817230, 445.076828, 451.024996, 300.246028, bg
142826.000000, 590.059319, 1570.160605, 347.000000, 164.495167, 309.545725, 628.046891, 542.718083, 526.751615, 630.862020, 582.252011, 604.869432, 677.014041, 608.550995, 960.556767, 4604.563727, 942074.789646, 1607.769906, 828.468973, 612.298800, 663.137150, 608.910567, 566.648187, 586.313310, 508.728008, 591.155639, 473.578732, bg
90882.000000, 490.886952, 1270.295598, 268.375000, 122.378928, 260.375231, 408.105303, 361.390974, 413.757052, 443.223412, 417.676111, 430.979390, 479.531888, 510.868392, 579.467136, 3857.972637, 622033.297164, 1433.171494, 574.793510, 477.899901, 467.293605, 439.427817, 431.392470, 443.974631, 431.308610, 354.455508, 352.355239, bg
70007.000000, 412.683898, 1090.070201, 267.875000, 119.602174, 215.381522, 359.670424, 348.622744, 339.393025, 341.306179, 355.165498, 373.558157, 356.817043, 357.624640, 394.731568, 1553.863787, 446424.168187, 932.769693, 456.731121, 375.756998, 345.495480, 375.783046, 341.387395, 323.286177, 340.367970, 369.031932, 313.609756, bg
