@RELATION leaves

@ATTRIBUTE area  NUMERIC
@ATTRIBUTE diameter  NUMERIC
@ATTRIBUTE perimeter  NUMERIC
@ATTRIBUTE bending_energy  NUMERIC
@ATTRIBUTE center_of_mass_x  NUMERIC
@ATTRIBUTE center_of_mass_y NUMERIC
@ATTRIBUTE number_of_peaks NUMERIC
@ATTRIBUTE fourier1  NUMERIC
@ATTRIBUTE fourier2  NUMERIC
@ATTRIBUTE fourier3  NUMERIC
@ATTRIBUTE fourier4  NUMERIC
@ATTRIBUTE fourier5  NUMERIC
@ATTRIBUTE fourier6  NUMERIC
@ATTRIBUTE fourier7  NUMERIC
@ATTRIBUTE fourier8  NUMERIC
@ATTRIBUTE fourier9  NUMERIC
@ATTRIBUTE fourier10  NUMERIC
@ATTRIBUTE fourier11  NUMERIC
@ATTRIBUTE fourier12  NUMERIC
@ATTRIBUTE fourier13  NUMERIC
@ATTRIBUTE fourier14  NUMERIC
@ATTRIBUTE fourier15  NUMERIC
@ATTRIBUTE fourier16  NUMERIC
@ATTRIBUTE fourier17  NUMERIC
@ATTRIBUTE fourier18  NUMERIC
@ATTRIBUTE fourier19  NUMERIC
@ATTRIBUTE fourier20  NUMERIC
@ATTRIBUTE fourier21  NUMERIC

@ATTRIBUTE class  {ag, bg, cg, lg, me, pe}

@DATA
304391.000000, 1559.552822, 3305.400426, 65.254648, 277.632253, 872.693469, 1374.000000, 87.887398, 176.695632, 266.721177, 437.643405, 709.272564, 1082.087508, 1420.983880, 2024.315944, 3256.403906, 11013.674995, 5566307.790088, 6827.790867, 2982.296892, 2000.560344, 1427.992626, 1078.051403, 662.388726, 425.262668, 254.741670, 165.748119, 80.398811, ag
695495.000000, 2172.860077, 4696.625105, 89.304864, 373.181975, 1139.786635, 1966.000000, 183.693807, 312.276340, 483.482553, 807.653421, 1282.493665, 1694.356281, 2410.700360, 3332.058548, 4509.964328, 13954.456182, 10792848.403721, 10988.074797, 4354.720977, 3291.624986, 2427.691799, 1684.106245, 1252.464357, 788.634965, 481.860353, 308.292161, 174.067651, ag
589192.000000, 2104.684719, 4474.529572, 83.934542, 318.112311, 1109.361260, 1865.000000, 142.599902, 264.279082, 446.694421, 690.331504, 1118.827275, 1645.062402, 2123.949628, 3111.845792, 4834.421303, 13722.049047, 9877370.623250, 10377.038310, 4561.346278, 3168.815895, 2098.347706, 1624.564167, 1087.210636, 687.470994, 440.833954, 267.499160, 137.401342, ag
404897.000000, 1765.391440, 3747.656698, 81.314478, 288.263658, 964.838239, 1576.000000, 115.462574, 184.465462, 318.289156, 533.481869, 819.392314, 1349.147557, 1900.691471, 2376.488334, 3607.598365, 16169.835873, 7040868.305884, 8173.716838, 3365.002901, 2291.600299, 1949.165105, 1289.740786, 733.750780, 506.611972, 307.400057, 173.693010, 98.739156, ag
293408.000000, 1532.843597, 3288.129019, 54.360619, 295.028916, 871.720598, 1420.000000, 94.745105, 167.443420, 294.836717, 473.729149, 652.625340, 977.521667, 1386.833442, 1763.940806, 2744.552082, 9543.925803, 5509964.737224, 6471.649073, 2257.859003, 1739.589992, 1313.810529, 907.647506, 633.600440, 429.958464, 284.913667, 156.352201, 78.899285, ag
431998.000000, 1842.150916, 3899.891403, 70.492675, 268.715958, 1006.171359, 1649.000000, 122.107436, 219.287706, 338.441377, 589.993035, 896.138378, 1310.193826, 1804.562416, 2469.037243, 3599.321637, 12280.760798, 7608966.050160, 7721.870325, 3444.858559, 2350.089819, 1836.011249, 1207.715300, 901.559805, 564.512093, 325.166180, 204.301337, 113.560495, ag
384660.000000, 1869.031844, 3991.983171, 67.818663, 232.691699, 1012.252326, 1605.000000, 110.360468, 205.890560, 328.651332, 570.743792, 830.057923, 1252.746644, 1945.881710, 2604.187132, 3811.244768, 13350.429392, 7899504.403601, 8970.823938, 3591.981438, 2637.997897, 1922.308134, 1221.497218, 803.953402, 542.933133, 321.226198, 201.714641, 94.936735, ag
176972.000000, 1246.261898, 2622.429669, 49.871765, 244.721577, 751.316128, 1098.000000, 57.588225, 120.151963, 200.004186, 299.559479, 399.898105, 726.837223, 1161.244110, 1602.157066, 2065.734433, 6263.279301, 3687025.201143, 3889.318654, 1881.032661, 1600.172003, 1133.640521, 699.738183, 374.765338, 289.617997, 191.644759, 115.013291, 52.225631, ag
249679.000000, 1422.536330, 2999.390561, 59.633794, 272.342672, 774.212851, 1274.000000, 91.510010, 131.233480, 244.817062, 401.706288, 631.395222, 946.913626, 1378.122394, 1659.312496, 2678.143708, 8793.936023, 4550346.647911, 4752.547183, 2197.773384, 1658.337551, 1336.472105, 848.618642, 604.174126, 370.457978, 226.321181, 120.191526, 75.128123, ag
269687.000000, 1542.031293, 3225.694642, 60.046428, 276.248218, 996.201909, 1344.000000, 82.783074, 150.636506, 246.077388, 433.523947, 664.951274, 1042.494804, 1398.124105, 2032.777162, 3035.939779, 9214.612302, 5754000.168799, 6151.045956, 2714.731489, 2030.050650, 1383.152724, 978.290504, 639.903469, 415.501608, 237.841275, 143.675902, 73.656867, ag
137450.000000, 594.348620, 1482.124417, 22.930718, 215.059984, 320.106080, 599.000000, 32.258604, 48.233261, 89.790929, 115.658516, 227.418276, 306.311515, 373.048054, 497.949614, 743.574066, 2593.413253, 961977.356564, 1458.921557, 706.952930, 483.322670, 366.688951, 282.161700, 214.123725, 105.639980, 81.203965, 46.564953, 24.873615, bg
91778.000000, 443.741115, 1180.293160, 20.730075, 155.773678, 241.676496, 506.000000, 25.077297, 47.866176, 67.319403, 99.628500, 122.183932, 204.124717, 306.897439, 410.288758, 779.811487, 4993.640495, 563182.952298, 1652.300258, 560.003150, 401.307045, 260.802185, 186.383634, 116.372506, 90.410263, 66.457008, 40.914108, 16.952666, bg
142826.000000, 593.613476, 1513.334956, 25.522359, 165.592381, 311.610453, 664.000000, 37.978816, 56.929756, 89.974283, 164.462391, 219.278556, 310.098448, 443.559782, 486.617804, 881.664940, 4570.121486, 948317.710309, 1564.410636, 725.998283, 457.650994, 405.185967, 283.601070, 186.997931, 133.797790, 74.427065, 51.654984, 25.863208, bg
90882.000000, 494.238692, 1226.141156, 27.048480, 123.265250, 262.260984, 540.000000, 24.633940, 37.139050, 70.320411, 113.390118, 154.115293, 218.347932, 313.025003, 403.989672, 527.690356, 3824.249573, 626509.738782, 1399.638836, 508.600535, 364.535753, 291.181567, 210.682744, 148.211522, 103.791980, 66.598043, 32.774491, 19.686643, bg
70007.000000, 415.788885, 1047.990822, 16.843541, 120.597694, 217.174270, 431.000000, 21.564462, 35.485292, 56.838747, 87.960539, 133.575504, 189.278557, 231.662988, 281.662606, 359.651958, 1535.469365, 450118.208848, 913.929276, 410.261108, 290.779512, 217.856828, 185.265247, 121.962591, 79.747547, 54.230742, 35.616584, 18.132521, bg
